artifact_type,machine,descriptor_id,model,seed,train_precision,checkpoint_role,source_path,mirror_path,sha256,mirror_sha256,hash_kind,mirror_status
checkpoint,3090,3090-gdn-s125-fp32,gdn,125,fp32,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s125-fp32-b64ga4-formal/best.pt,,ee0af75ec3e3b24451b750a64bc00d5073aba4663b9348de004cb373eb095c6b,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s125-fp32,flash,125,fp32,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s125-fp32-b64ga4-formal/last.pt,,7e1ab2b048a2ea216c134b5d617b7a12c60ee794495c67dd88c771bae4cb23b5,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s125-fp32,flash,125,fp32,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s125-fp32-b64ga4-formal/best.pt,,f2c22d7eaf76247b5a0b5e55a5acc5b581f4873a7822142fb39bf40f6e376ee8,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s123-fp16,gdn,123,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s123-fp16-b64ga4-formal/last.pt,,bac06222804cd4cefe76024ac38a4af0d9574b10acb15e6a6b0cd37c74ee3282,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s123-fp16,gdn,123,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s123-fp16-b64ga4-formal/best.pt,,fad2dd7b314e3d1aa628fcfb6a6fda41554d68b7b7af9c774699a9ea8eaa1e83,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s123-fp16,flash,123,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s123-fp16-b64ga4-formal/last.pt,,5fbe5a732c862a140a17e56a1598c1543182a6121d20bfc422a6d8447f0acadd,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s123-fp16,flash,123,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s123-fp16-b64ga4-formal/best.pt,,e595c6a611d7ddbba7be519a2f30d01da1e8d9343fdb91386075b23bf8c38a4c,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s124-fp16,gdn,124,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s124-fp16-b64ga4-formal/last.pt,,274546efdd5b537ce7355da5f5bd6e12d690e7d3dd6027ab82ee54462db50d3d,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s124-fp16,gdn,124,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s124-fp16-b64ga4-formal/best.pt,,14926c4515f425075e98cc43435e4231efb085761a5c99ce7ccc14a58aa96047,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s124-fp16,flash,124,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s124-fp16-b64ga4-formal/last.pt,,73d598db6f45c15a19ee0f3165684ae05d7f8a8b999983d05733662ef78ef032,,file_sha256,large_raw_retained_on_source_machine
