source_machine,accuracy,checkpoint_role,dataset_hash,eval_precision,event_id,logical_source_id,loss,machine,model,num_examples,peak_allocated_mib,seed,shape,status,train_precision,wall_clock_sec
2080ti,0.9764296875,last,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-1024x256-n500-b64-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.3772348018288612,2080ti,flash,500,4194.34716796875,123,1024x256,completed,fp32,10.357633535983041
2080ti,0.7984375,last,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-2048x512-n500-b32-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,1.5009336977005006,2080ti,flash,500,4193.84912109375,123,2048x512,completed,fp32,12.350184621987864
2080ti,0.40426953125,last,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-4096x1024-n500-b16-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,3.495531823158264,2080ti,flash,500,4193.603515625,123,4096x1024,completed,fp32,20.575382043840364
2080ti,0.6564609375,last,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-8190x512-n500-b16-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,2.239040332078934,2080ti,flash,500,8436.7685546875,123,8190x512,completed,fp32,32.967258421937004
2080ti,0.13250317361950875,last,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-8190x2047-n500-b16-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,5.615541217803955,2080ti,flash,500,8436.7685546875,123,8190x2047,completed,fp32,33.09273297409527
2080ti,0.99975,last,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,fp16,formal-2080ti-flash-s123-fp32-last-evalfp16-64x4-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.002892966406769119,2080ti,flash,1000,674.26220703125,123,64x4,completed,fp32,9.11206357111223
2080ti,0.999875,last,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,fp16,formal-2080ti-flash-s123-fp32-last-evalfp16-64x8-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.0037420039676362648,2080ti,flash,1000,679.97802734375,123,64x8,completed,fp32,9.168649965897202
2080ti,0.9999375,last,7298e6d64228dc9b8e75d90a58ceed496d8665e6ebf015689030e2593ffbf970,fp16,formal-2080ti-flash-s123-fp32-last-evalfp16-64x16-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.005049246742390096,2080ti,flash,1000,690.05126953125,123,64x16,completed,fp32,9.18029572116211
2080ti,0.99659375,last,a23066631270a2b388cbcbb247516054c1ccd018cd0270e1167315940e48a0a9,fp16,formal-2080ti-flash-s123-fp32-last-evalfp16-128x32-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.024080565683776513,2080ti,flash,1000,1293.13427734375,123,128x32,completed,fp32,9.355373715981841
2080ti,0.99871875,last,b5a14d15ac1321e868ed153a60a440ab1170bf0bf9dbab035adeabc115b1a47d,fp16,formal-2080ti-flash-s123-fp32-last-evalfp16-256x64-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.020618534117937088,2080ti,flash,1000,2573.71240234375,123,256x64,completed,fp32,9.823103467002511
