target,machine,layer_idx,head_idx,code_idx,records,share_of_target_machine_events,update_norm_max,update_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio
baseline-r2,2080ti,1,0,10,1,0.0002332089552238806,0.18945425748825073,0.18945425748825073,0.0,0.0
baseline-r2,2080ti,1,0,12,1,0.0002332089552238806,0.17881453037261963,0.17881453037261963,0.0,0.0
baseline-r2,2080ti,1,0,46,1,0.0002332089552238806,0.17310121655464172,0.17310121655464172,0.0,0.0
baseline-r2,2080ti,1,0,54,1,0.0002332089552238806,0.2008696347475052,0.2008696347475052,0.0,0.0
baseline-r2,2080ti,1,1,13,1,0.0002332089552238806,0.1965925544500351,0.1965925544500351,0.0,0.0
baseline-r2,2080ti,1,1,14,1,0.0002332089552238806,0.16627584397792816,0.16627584397792816,0.0,0.0
baseline-r2,2080ti,1,1,43,1,0.0002332089552238806,0.17690244317054749,0.17690244317054749,0.0,0.0
baseline-r2,2080ti,1,1,46,1,0.0002332089552238806,0.21377265453338623,0.21377265453338623,0.0,0.0
baseline-r2,2080ti,1,1,54,1,0.0002332089552238806,0.15050572156906128,0.15050572156906128,0.0,0.0
baseline-r2,3090,1,0,39,2134,0.4976679104477612,4.083294868469238,2.9126124382019043,0.0,0.5342080599812559
baseline-r2,3090,1,1,50,682,0.15904850746268656,2.1292834281921387,0.9814012050628662,0.0,0.20234604105571846
baseline-r2,3090,1,0,32,58,0.013526119402985074,0.24593070149421692,0.22759422659873962,0.0,0.0
baseline-r2,3090,1,1,11,56,0.013059701492537313,0.2683899402618408,0.2075175642967224,0.0,0.0
baseline-r2,3090,1,0,5,51,0.01189365671641791,0.2540411651134491,0.21364828944206238,0.0,0.0
baseline-r2,3090,1,1,19,48,0.011194029850746268,0.21461758017539978,0.2017768770456314,0.0,0.0
baseline-r2,3090,1,1,30,48,0.011194029850746268,0.20797520875930786,0.20688049495220184,0.0,0.0
baseline-r2,3090,1,0,29,47,0.010960820895522388,0.20468494296073914,0.20241603255271912,0.0,0.0
baseline-r2,3090,1,1,52,46,0.010727611940298507,0.2340187281370163,0.2167314738035202,0.0,0.0
baseline-r2,3090,1,0,30,45,0.010494402985074628,0.2134978324174881,0.20293787121772766,0.0,0.0
baseline-r2,3090,1,0,59,41,0.009561567164179104,0.22720898687839508,0.22017614543437958,0.0,0.0
baseline-r2,3090,1,0,1,37,0.008628731343283583,0.1944112926721573,0.189297616481781,0.0,0.0
baseline-r2,3090,1,0,48,36,0.008395522388059701,0.21729862689971924,0.20191006362438202,0.0,0.0
baseline-r2,3090,1,1,49,35,0.00816231343283582,0.21100470423698425,0.20465704798698425,0.0,0.0
baseline-r2,3090,1,0,34,32,0.007462686567164179,0.2202511429786682,0.19592179358005524,0.0,0.0
baseline-r2,3090,1,0,37,32,0.007462686567164179,0.22781863808631897,0.19422174990177155,0.0,0.0
baseline-r2,3090,1,0,57,27,0.006296641791044776,0.20302143692970276,0.19794273376464844,0.0,0.0
baseline-r2,3090,1,0,41,26,0.006063432835820896,0.19609983265399933,0.19425317645072937,0.0,0.0
baseline-r2,3090,1,1,41,26,0.006063432835820896,0.21345238387584686,0.19865858554840088,0.0,0.0
baseline-r2,3090,1,0,8,24,0.005597014925373134,0.22708138823509216,0.21933786571025848,0.0,0.0
baseline-r2,3090,1,1,35,24,0.005597014925373134,0.2233160138130188,0.19204837083816528,0.0,0.0
baseline-r2,3090,1,0,52,23,0.005363805970149254,0.22779296338558197,0.2017294466495514,0.0,0.0
baseline-r2,3090,1,1,12,23,0.005363805970149254,0.21989746391773224,0.21887119114398956,0.0,0.0
baseline-r2,3090,1,1,33,21,0.004897388059701493,0.24838154017925262,0.24708735942840576,0.0,0.0
baseline-r2,3090,1,0,23,20,0.0046641791044776115,0.18957695364952087,0.18455767631530762,0.0,0.0
baseline-r2,3090,1,0,33,20,0.0046641791044776115,0.21113528311252594,0.19928616285324097,0.0,0.0
baseline-r2,3090,1,0,42,20,0.0046641791044776115,0.2106979936361313,0.18990786373615265,0.0,0.0
baseline-r2,3090,1,0,9,19,0.004430970149253731,0.19544225931167603,0.1814066767692566,0.0,0.0
baseline-r2,3090,1,0,62,19,0.004430970149253731,0.19859011471271515,0.19166730344295502,0.0,0.0
baseline-r2,3090,1,1,36,17,0.00396455223880597,0.21515873074531555,0.19610393047332764,0.0,0.0
baseline-r2,3090,1,1,55,17,0.00396455223880597,0.20520462095737457,0.20454376935958862,0.0,0.0
baseline-r2,3090,1,0,44,15,0.003498134328358209,0.20341087877750397,0.1931602507829666,0.0,0.0
baseline-r2,3090,1,1,23,15,0.003498134328358209,0.20586659014225006,0.18493562936782837,0.0,0.0
baseline-r2,3090,1,1,48,14,0.0032649253731343282,0.21301329135894775,0.20915423333644867,0.0,0.0
baseline-r2,3090,1,0,36,13,0.003031716417910448,0.23206469416618347,0.20814649760723114,0.0,0.0
baseline-r2,3090,1,1,47,13,0.003031716417910448,0.2174103856086731,0.20007893443107605,0.0,0.0
baseline-r2,3090,1,1,53,13,0.003031716417910448,0.19605803489685059,0.18930549919605255,0.0,0.0
baseline-r2,3090,1,1,56,13,0.003031716417910448,0.1837218552827835,0.17697037756443024,0.0,0.0
baseline-r2,3090,1,0,27,12,0.002798507462686567,0.20880070328712463,0.19877129793167114,0.0,0.0
baseline-r2,3090,1,0,45,12,0.002798507462686567,0.22786276042461395,0.1891840696334839,0.0,0.0
baseline-r2,3090,1,1,6,12,0.002798507462686567,0.20023325085639954,0.18909898400306702,0.0,0.0
baseline-r2,3090,1,1,20,12,0.002798507462686567,0.20715850591659546,0.18637651205062866,0.0,0.0
baseline-r2,3090,1,1,22,12,0.002798507462686567,0.1788150668144226,0.17866335809230804,0.0,0.0
baseline-r2,3090,1,1,32,12,0.002798507462686567,0.19687095284461975,0.1943284124135971,0.0,0.0
baseline-r2,3090,1,0,40,11,0.0025652985074626866,0.23619146645069122,0.23619146645069122,0.0,0.0
baseline-r2,3090,1,1,28,11,0.0025652985074626866,0.19446662068367004,0.19446662068367004,0.0,0.0
baseline-r2,3090,1,0,4,10,0.0023320895522388058,0.17884263396263123,0.17884263396263123,0.0,0.0
baseline-r2,3090,1,0,21,10,0.0023320895522388058,0.20273077487945557,0.20273077487945557,0.0,0.0
baseline-r2,3090,1,1,7,10,0.0023320895522388058,0.2097102254629135,0.2097102254629135,0.0,0.0
baseline-r2,3090,1,1,57,10,0.0023320895522388058,0.2012493908405304,0.2012493908405304,0.0,0.0
baseline-r2,3090,1,0,19,9,0.0020988805970149254,0.1929694265127182,0.1929694265127182,0.0,0.0
baseline-r2,3090,1,0,28,9,0.0020988805970149254,0.1801082044839859,0.1801082044839859,0.0,0.0
baseline-r2,3090,1,1,10,9,0.0020988805970149254,0.19130298495292664,0.19130298495292664,0.0,0.0
baseline-r2,3090,1,0,6,8,0.0018656716417910447,0.17458955943584442,0.17458955943584442,0.0,0.0
baseline-r2,3090,1,0,15,8,0.0018656716417910447,0.2061067372560501,0.2061067372560501,0.0,0.0
baseline-r2,3090,1,0,25,8,0.0018656716417910447,0.20324629545211792,0.20324629545211792,0.0,0.0
baseline-r2,3090,1,0,55,8,0.0018656716417910447,0.20064228773117065,0.20064228773117065,0.0,0.0
baseline-r2,3090,1,1,18,8,0.0018656716417910447,0.18931764364242554,0.18931764364242554,0.0,0.0
baseline-r2,3090,1,1,58,8,0.0018656716417910447,0.1966867297887802,0.1966867297887802,0.0,0.0
baseline-r2,3090,1,0,7,7,0.0016324626865671641,0.17809882760047913,0.17809882760047913,0.0,0.0
baseline-r2,3090,1,0,63,7,0.0016324626865671641,0.18594606220722198,0.18594606220722198,0.0,0.0
baseline-r2,3090,1,1,9,7,0.0016324626865671641,0.22648507356643677,0.22648507356643677,0.0,0.0
baseline-r2,3090,1,1,37,7,0.0016324626865671641,0.1979089230298996,0.1979089230298996,0.0,0.0
baseline-r2,3090,1,0,35,6,0.0013992537313432835,0.18781784176826477,0.18781784176826477,0.0,0.0
baseline-r2,3090,1,0,49,6,0.0013992537313432835,0.22284995019435883,0.22284995019435883,0.0,0.0
baseline-r2,3090,1,0,58,6,0.0013992537313432835,0.17883771657943726,0.17883771657943726,0.0,0.0
baseline-r2,3090,1,1,8,6,0.0013992537313432835,0.20019212365150452,0.20019212365150452,0.0,0.0
baseline-r2,3090,1,1,24,6,0.0013992537313432835,0.1900658905506134,0.1900658905506134,0.0,0.0
baseline-r2,3090,1,1,26,6,0.0013992537313432835,0.1890661120414734,0.1890661120414734,0.0,0.0
baseline-r2,3090,1,1,29,6,0.0013992537313432835,0.1958463042974472,0.1958463042974472,0.0,0.0
baseline-r2,3090,1,1,45,6,0.0013992537313432835,0.1815851330757141,0.1815851330757141,0.0,0.0
baseline-r2,3090,1,0,0,5,0.0011660447761194029,0.18860308825969696,0.18860308825969696,0.0,0.0
baseline-r2,3090,1,0,16,5,0.0011660447761194029,0.1791316568851471,0.1791316568851471,0.0,0.0
baseline-r2,3090,1,0,17,5,0.0011660447761194029,0.19163261353969574,0.19163261353969574,0.0,0.0
baseline-r2,3090,1,0,20,5,0.0011660447761194029,0.19113558530807495,0.19113558530807495,0.0,0.0
baseline-r2,3090,1,0,31,5,0.0011660447761194029,0.20408110320568085,0.20408110320568085,0.0,0.0
baseline-r2,3090,1,0,50,5,0.0011660447761194029,0.18213188648223877,0.18213188648223877,0.0,0.0
baseline-r2,3090,1,1,5,5,0.0011660447761194029,0.17942065000534058,0.17942065000534058,0.0,0.0
baseline-r2,3090,1,1,62,5,0.0011660447761194029,0.20109836757183075,0.20109836757183075,0.0,0.0
baseline-r2,3090,1,1,63,5,0.0011660447761194029,0.21766695380210876,0.21766695380210876,0.0,0.0
baseline-r2,3090,1,0,38,4,0.0009328358208955224,0.17564363777637482,0.17564363777637482,0.0,0.0
baseline-r2,3090,1,0,60,4,0.0009328358208955224,0.18724675476551056,0.18724675476551056,0.0,0.0
baseline-r2,3090,1,1,34,4,0.0009328358208955224,0.19132694602012634,0.19132694602012634,0.0,0.0
baseline-r2,3090,1,1,38,4,0.0009328358208955224,0.1902584582567215,0.1902584582567215,0.0,0.0
baseline-r2,3090,1,1,39,4,0.0009328358208955224,0.20495839416980743,0.20495839416980743,0.0,0.0
baseline-r2,3090,1,1,51,4,0.0009328358208955224,0.16517391800880432,0.16517391800880432,0.0,0.0
baseline-r2,3090,1,1,61,4,0.0009328358208955224,0.17497317492961884,0.17497317492961884,0.0,0.0
baseline-r2,3090,1,0,3,3,0.0006996268656716418,0.21803423762321472,0.21803423762321472,0.0,0.0
baseline-r2,3090,1,0,14,3,0.0006996268656716418,0.17709597945213318,0.17709597945213318,0.0,0.0
baseline-r2,3090,1,0,22,3,0.0006996268656716418,0.16831625998020172,0.16831625998020172,0.0,0.0
