abs_l2_norm_gap,abs_mean_gap,candidate_l2_norm,candidate_mean,candidate_sample,candidate_sha256,dtype_match,layer_idx,micro_step,optimizer_step,ref_l2_norm,ref_mean,ref_sample,ref_sha256,sha256_match,shape_match,trace_name,variant
0.0,2.9103830456733704e-11,1318.9432373046875,0.00024548982037231326,"[-0.3174777626991272,-0.15193472802639008,0.16587187349796295,0.04986667260527611,-0.08510883152484894,-0.003580532968044281,-0.0306699275970459,0.2924538850784302]",aacba0b5381f33488466dbcb0e95afc2cbcda4f5a9a0fc94cb192873c6e820df,True,,0,0,1318.9432373046875,0.0002454897912684828,"[-0.3174777626991272,-0.15193472802639008,0.16587187349796295,0.04986667260527611,-0.08510883152484894,-0.003580532968044281,-0.0306699275970459,0.2924538850784302]",459baa4b02f43dc4a12a8c5c0e19a62ecc02949ec1150d44920460ee48983f56,False,True,forward/logits,baseline
,,,,,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,True,,0,0,,,,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,True,True,forward/preds,baseline
0.0,0.0,10.871895790100098,10.871895790100098,[10.871895790100098],10.8718957901,True,,0,0,10.871895790100098,10.871895790100098,[10.871895790100098],10.8718957901,True,True,forward/loss,baseline
0.0,3.4924596548080444e-10,1023.892333984375,4.6436562115559354e-05,"[-0.1956392079591751,-1.5131515264511108,-0.6157063841819763,-0.5642762184143066,-0.24382343888282776,-0.1518012136220932,-1.6145381927490234,0.4381839334964752]",12c1e24b39e5e926578727250d895738a2c1e26b6185947356dab8479f33ebcd,True,1,4,1,1023.892333984375,4.6436212869593874e-05,"[-0.1956392526626587,-1.5131516456604004,-0.6157064437866211,-0.5642762184143066,-0.24382345378398895,-0.1518012434244156,-1.6145381927490234,0.43818399310112]",afbee4c0f566a53ee4df0f394edd053d0a3f368435f18462472703c2dd1edd18,False,True,fox_gate/input_x,baseline
0.0,1.5133991837501526e-09,28.63463020324707,-0.0010724591556936502,"[-0.08557494729757309,-0.24647265672683716,0.11058297008275986,-0.12128695100545883,0.11572080850601196,-0.23130127787590027,0.01536006573587656,0.3060751259326935]",2759965785eb019bfd131e7d15aa84c8f54477999fa948d846d234e1d7204c8e,True,1,4,1,28.63463020324707,-0.0010724576422944665,"[-0.08557498455047607,-0.24647220969200134,0.11058289557695389,-0.12128672748804092,0.11572082340717316,-0.23130086064338684,0.015359833836555481,0.30607548356056213]",148c88da73d326c13e1f8570a3982bd7c11ba469ebafd10b2b06566632c53339,False,True,fox_gate/logits_cuda,baseline
0.0,0.0,5.670543193817139,-0.04374382272362709,"[-0.04605310782790184,-0.05149737372994423,-0.03996146842837334,-0.04722677171230316,-0.03980998694896698,-0.050966911017894745,-0.0428435392677784,-0.03448590263724327]",683ab26c402a47861d641ebf83786eb999aa04d944ff2a0b5b2ffa6b265c0d37,True,1,4,1,5.670543193817139,-0.04374382272362709,"[-0.04605311155319214,-0.05149735510349274,-0.039961472153663635,-0.047226764261722565,-0.03980998694896698,-0.050966888666152954,-0.042843546718358994,-0.034485891461372375]",62410286589f29c62787f3f80c31fd838d4bab2f4919046d47fb55d27db14340,False,True,fox_gate/logf_cuda,baseline
0.0,2.444721758365631e-09,28.63463020324707,-0.0010724578751251101,"[-0.08557488974000725,-0.24647257392170574,0.11058287442626225,-0.12128696778566055,0.11572080801562709,-0.23130125543345087,0.015360034834506209,0.30607512420440813]",fa24c64af02dd1797991b963c0d1f338f89fb12cd2ad84713689c262828e5c46,True,1,4,1,28.63463020324707,-0.0010724554304033518,"[-0.08557499457239048,-0.2464720691282471,0.11058282929709667,-0.12128675749481468,0.11572081621261396,-0.23130084230257342,0.015359827524062897,0.30607544325836444]",9e93999d57d1327eb49fa83138109a1b6ae099e6f7348def95e73c2adf4700de,False,True,fox_gate/logits_ref_fp64_cpu,baseline
0.0,0.0,5.670543193817139,-0.04374382272362709,"[-0.04605310806106106,-0.05149736970891915,-0.03996147104075564,-0.04722677215904323,-0.03980998478537373,-0.05096690546096541,-0.04284354088665928,-0.03448590247895748]",bd4b735a13e4a251e31afddadd285d57f676876b0c756ebda01ade01352631cf,True,1,4,1,5.670543193817139,-0.04374382272362709,"[-0.046053111477159826,-0.0514973519998803,-0.03996147237314469,-0.047226765189418415,-0.03980998454402265,-0.05096689106415919,-0.04284354731535733,-0.034485894022571836]",cee25b95e52f71f330f4e7652df890c9414305c5ddfa02dbdeb141298a54a8d0,False,True,fox_gate/logf_ref_fp64_cpu,baseline
3.0517578125e-05,1.5133991837501526e-09,362.0307922363281,0.0012374605285003781,"[-0.16777242720127106,0.15290848910808563,-0.14047788083553314,-0.2837085723876953,0.21973465383052826,0.5104272365570068,0.16752691566944122,-0.30580899119377136]",f33800c56598bf03d31437bcd75a1afc4331582ceaa6cba895dcbbcf78ba412b,True,1,4,1,362.03082275390625,0.0012374620418995619,"[-0.16777242720127106,0.15290845930576324,-0.14047765731811523,-0.28370848298072815,0.219734787940979,0.5104270577430725,0.16752690076828003,-0.3058089017868042]",2c6855f8151b91fcf7b1f7ddbb1e34f5a0bd182fd9106e69ff00773ad38caf81,False,True,phase1/q_all,baseline
0.0,1.7462298274040222e-10,362.0274963378906,0.0006706069689244032,"[-0.19380611181259155,0.7514045238494873,0.22231189906597137,0.11309201270341873,0.4069482088088989,-0.267444372177124,0.2944662570953369,-0.13483348488807678]",3f48ebaf1328b2e74b8f200d22f0d31f0061b274de3e4252a5ee69c39ef39e65,True,1,4,1,362.0274963378906,0.0006706067943014205,"[-0.19380617141723633,0.7514046430587769,0.22231176495552063,0.1130921021103859,0.40694817900657654,-0.2674444615840912,0.29446619749069214,-0.1348334401845932]",adf86e0d29400b034289e04b3f50e66e83aec48d2ff781f3b2aba377f4413ad8,False,True,phase1/k_all,baseline
0.0,4.656612873077393e-10,83.43143463134766,0.006443674210458994,"[-0.015553739853203297,-0.026564380154013634,0.13319554924964905,-0.006882237270474434,-0.049050405621528625,0.06787210702896118,-0.001019757823087275,0.027408141642808914]",68cbb1cef135d72dad53bebabeab83953f3282cfdb70e7ee02acf61c6cc5dc2b,True,1,4,1,83.43143463134766,0.006443673744797707,"[-0.015553750097751617,-0.026564382016658783,0.13319556415081024,-0.006882244721055031,-0.04905040189623833,0.06787211447954178,-0.0010197844821959734,0.027408123016357422]",a92cf061dc0b98b9ce7a54a6d0c6f0a3c0b75069d54543a1ea377658adabde66,False,True,phase1/v_all,baseline
1.52587890625e-05,8.731149137020111e-11,231.66616821289062,0.0001942712697200477,"[-0.0851978287100792,0.12955687940120697,0.3355657756328583,-0.045660026371479034,-0.05491247400641441,-0.06252112984657288,0.39017245173454285,0.10450749099254608]",0f878603a9d8efa212fc33ab0dc741b603c346c897ffcdcf84777a2e267e55f1,True,1,4,1,231.6661834716797,0.00019427118240855634,"[-0.08519785851240158,0.12955698370933533,0.33556583523750305,-0.04565999284386635,-0.054912421852350235,-0.06252109259366989,0.39017197489738464,0.10450750589370728]",3a1870b90129fe4409cae93e71b8308a65099787a26ce6cadf16bcac465f8fbf,False,True,phase1/g_raw_all,baseline
0.0,0.0,59.272735595703125,0.0017250848468393087,"[-0.003649348858743906,0.00839023943990469,0.0359719954431057,0.09794088453054428,0.07773058116436005,-0.07232344150543213,-0.03767073526978493,-0.09629851579666138]",328e92fb1c1f273d6ab11d29f23b2e2718eac08459e84c3b5aeb7e8e9d572141,True,1,4,1,59.272735595703125,0.0017250848468393087,"[-0.003649345599114895,0.008390258066356182,0.03597196564078331,0.09794089943170547,0.07773058861494064,-0.07232344150543213,-0.037670765072107315,-0.09629852324724197]",89af9b4051a4931607133530ecdbc40cba1a62da82b937849e0b53867ecb0e5b,False,True,phase1/K_q_all,baseline
0.0,0.0,4827.93017578125,32.9443359375,"[45,44,11,12,8,38,38,18]",359996a0300dd15c64ba31af21d704f631d98a304ddec217bd56ac5405e0ac07,True,1,4,1,4827.93017578125,32.9443359375,"[45,44,11,12,8,38,38,18]",359996a0300dd15c64ba31af21d704f631d98a304ddec217bd56ac5405e0ac07,True,True,phase1/Delta_all,baseline
0.0,1.862645149230957e-09,18.265687942504883,0.01562500186264515,"[0.015865851193666458,0.019818326458334923,0.013537713326513767,0.026639094576239586,0.025960752740502357,0.011286645196378231,0.013356202282011509,0.02080187015235424]",04c5d81d32a4ef7841ae0b2f4781584b5b9980d932a974a2f142fd3ad8befab5,True,1,4,1,18.265687942504883,0.015625,"[0.015865851193666458,0.019818324595689774,0.013537713326513767,0.026639100164175034,0.02596074528992176,0.011286645196378231,0.013356202282011509,0.02080187015235424]",64c980409b98c051d4a23f24d79628cfe63aefb1a59e60ed1fde92533f7379d3,False,True,phase1/W_all,baseline
