-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      autograd::engine::evaluate_function: SubBackward0         0.25%      32.888ms         1.15%     149.276ms      24.217us       0.000us         0.00%      13.468ms       2.185us           0 b           0 b       5.59 Mb      -3.01 Mb          6164  
                                           ExpBackward0         0.17%      22.376ms         0.95%     124.147ms      20.170us       0.000us         0.00%      13.530ms       2.198us           0 b           0 b       5.52 Mb           0 b          6155  
                       flashvqg/attn/phase1/project_qkv         0.01%     737.401us        11.52%        1.498s        1.498s       0.000us         0.00%     891.588ms     891.588ms          16 b          16 b       5.06 Mb      -3.98 Mb             1  
                                            aten::where         0.00%     442.287us         0.01%       1.185ms      39.504us      79.007us         0.00%      96.414us       3.214us           0 b           0 b       4.70 Mb      -1.50 Kb            30  
                                    aten::_foreach_sqrt         0.00%      80.753us         0.17%      22.598ms      22.598ms      23.616us         0.00%      23.616us      23.616us           0 b           0 b       4.52 Mb           0 b             1  
               aten::value_selecting_reduction_backward         0.00%      38.572us         0.00%     341.819us      68.364us       0.000us         0.00%      44.672us       8.934us           0 b           0 b       4.00 Mb           0 b             5  
                                     EmbeddingBackward0         0.00%       4.535us         0.01%       1.035ms       1.035ms       0.000us         0.00%      33.984us      33.984us           0 b           0 b       4.00 Mb           0 b             1  
                               aten::embedding_backward         0.00%       4.028us         0.01%       1.030ms       1.030ms       0.000us         0.00%      33.984us      33.984us           0 b           0 b       4.00 Mb           0 b             1  
                         aten::embedding_dense_backward         0.00%      13.637us         0.01%       1.026ms       1.026ms      25.856us         0.00%      33.984us      33.984us           0 b           0 b       4.00 Mb           0 b             1  
                                    MaskedFillBackward0         0.00%       7.910us         0.00%     161.728us      53.909us       0.000us         0.00%      28.414us       9.471us           0 b           0 b       3.00 Mb           0 b             3  
                        flashvqg/attn/phase2/local_path         0.01%     680.203us         0.08%      10.639ms      10.639ms       0.000us         0.00%      98.911us      98.911us           0 b           0 b       2.63 Mb      -2.64 Mb             1  
                                       aten::layer_norm         0.00%      20.720us         0.01%     879.792us     175.958us       0.000us         0.00%      45.216us       9.043us           0 b           0 b       2.54 Mb           0 b             5  
                                aten::native_layer_norm         0.00%     149.577us         0.01%     859.072us     171.814us      38.752us         0.00%      45.216us       9.043us           0 b           0 b       2.54 Mb    -512.00 Kb             5  
                              flashvqg/attn/output_proj         0.00%     197.845us         7.47%     970.897ms     970.897ms       0.000us         0.00%     935.964ms     935.964ms           0 b           0 b       2.51 Mb           0 b             1  
                               NativeLayerNormBackward0         0.00%      29.215us         0.00%     291.509us      58.302us       0.000us         0.00%      82.399us      16.480us           0 b           0 b       2.50 Mb           0 b             5  
                       aten::native_layer_norm_backward         0.00%      74.124us         0.00%     262.294us      52.459us      76.992us         0.00%      82.399us      16.480us           0 b           0 b       2.50 Mb    -512.00 Kb             5  
                                           MaxBackward0         0.00%      13.931us         0.00%     191.033us      95.517us       0.000us         0.00%      21.024us      10.512us           0 b           0 b       2.50 Mb           0 b             2  
                                  aten::constant_pad_nd         0.00%     143.197us         0.01%     782.406us      46.024us       0.000us         0.00%      67.743us       3.985us           0 b           0 b       2.33 Mb           0 b            17  
                                        aten::clamp_min         0.00%     335.372us         0.09%      11.783ms     620.166us      43.392us         0.00%      43.392us       2.284us           0 b           0 b       2.07 Mb       2.07 Mb            19  
                                              aten::log         0.00%      75.024us         0.02%       2.694ms     538.769us      11.680us         0.00%      11.680us       2.336us           0 b           0 b       2.07 Mb       2.07 Mb             5  
                                         AddmmBackward0         0.00%      44.239us         0.00%     353.804us      88.451us       0.000us         0.00%      67.426us      16.856us           0 b           0 b       2.07 Mb           0 b             4  
                                        GatherBackward0         0.00%       7.864us         0.00%     162.307us      81.154us       0.000us         0.00%      11.712us       5.856us           0 b           0 b       2.00 Mb           0 b             2  
                                  aten::gather_backward         0.00%      12.149us         0.00%     154.443us      77.222us       0.000us         0.00%      11.712us       5.856us           0 b           0 b       2.00 Mb           0 b             2  
                                          aten::softmax         0.00%      12.174us         0.07%       8.818ms       8.818ms       0.000us         0.00%       9.727us       9.727us           0 b           0 b       2.00 Mb           0 b             1  
                                         aten::_softmax         0.00%      48.821us         0.07%       8.806ms       8.806ms       4.543us         0.00%       9.727us       9.727us           0 b           0 b       2.00 Mb           0 b             1  
                                       SoftmaxBackward0         0.00%       5.512us         0.00%      66.612us      66.612us       0.000us         0.00%      16.033us      16.033us           0 b           0 b       2.00 Mb           0 b             1  
                           aten::_softmax_backward_data         0.00%      16.909us         0.00%      61.100us      61.100us       6.881us         0.00%      16.033us      16.033us           0 b           0 b       2.00 Mb           0 b             1  
      autograd::engine::evaluate_function: MaxBackward0         0.00%      28.907us         0.00%     232.258us     116.129us       0.000us         0.00%      23.616us      11.808us           0 b           0 b       1.95 Mb    -560.00 Kb             2  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%      49.713us         0.00%     506.595us     126.649us       0.000us         0.00%      98.050us      24.512us           0 b           0 b       1.54 Mb    -536.00 Kb             4  
                                      LayerNormFunction         5.69%     739.780ms        11.45%        1.489s     744.492ms      14.488ms         0.33%     891.488ms     445.744ms           0 b      -7.51 Kb       1.52 Mb      -2.25 Gb             2  
                                          TopkBackward0         0.00%      10.122us         0.00%     174.839us      58.280us       0.000us         0.00%      23.648us       7.883us           0 b           0 b       1.50 Mb           0 b             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.001s
Self CUDA time total: 4.326s
