machine,variant,train_step,loss,read_topk_effective,read_churn,read_retention,read_top1_flip,read_margin_mean,read_margin_p05,read_entropy_mean,read_selected_mass_mean,raw_topk_mass_mean,update_norm_mean,update_norm_p95,update_norm_max,m_norm_mean,m_norm_max,lambda_mean,inject_ratio,write_q_top1_mean,write_q_entropy_mean,write_strength_mean,write_strength_p95,write_strength_max,vq_entropy,vq_usage_max,vq_usage_min,vq_relative_err_mean
3090,trace-r4-read-256,128,8.460063934326172,4.0,0.530364990234375,0.469635009765625,0.78564453125,2.879537582397461,0.0,1.769594430923462,0.5691930651664734,0.7675538063049316,0.008571220561861992,0.05621473491191864,0.3405722379684448,0.008177883923053741,0.7331513166427612,0.002547407988458872,0.027651015669107437,0.9278028011322021,0.33700695633888245,0.014469113200902939,0.0949908047914505,0.5371953845024109,1.7022264003753662,11667.677734375,13.229825973510742,0.07381847500801086
2080ti,trace-r4-read-256,256,8.391023635864258,4.0,0.1925048828125,0.8074951171875,0.3272705078125,4.430191516876221,0.0,0.7361029386520386,0.7914899587631226,0.7989034652709961,0.013290324248373508,0.07621121406555176,1.8502460718154907,0.02062758058309555,3.6236302852630615,0.0018572950502857566,0.0034481529146432877,0.9414714574813843,0.28609880805015564,0.01127239316701889,0.06946184486150742,0.7202432155609131,1.5103912353515625,12323.39453125,11.993208885192871,0.018987013027071953
3090,trace-r4-read-256,256,8.393014907836914,4.0,0.079925537109375,0.920074462890625,0.2176513671875,1.439192533493042,0.0,1.7052490711212158,0.6773968935012817,0.79892498254776,0.013706561177968979,0.08206502348184586,1.3598419427871704,0.020028866827487946,3.2821526527404785,0.0012366044102236629,0.002169924322515726,0.9407185316085815,0.28911125659942627,0.011552209965884686,0.07355526834726334,0.5244715809822083,1.512655258178711,12313.86328125,12.018508911132812,0.019378291442990303
2080ti,trace-r64-read-256,0,9.038742065429688,64.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.12890678644180298,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.41687947511672974,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
3090,trace-r64-read-256,0,9.038742065429688,64.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.12890678644180298,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.41687947511672974,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
2080ti,trace-r64-read-256,16,9.036165237426758,64.0,0.0,1.0,0.0,0.3725171983242035,0.0,3.3616888523101807,0.16563841700553894,0.20091691613197327,0.08172015845775604,0.12141617387533188,0.23126740753650665,0.04588013142347336,0.41516104340553284,0.050583213567733765,0.39358171820640564,0.32784444093704224,1.359464168548584,0.12456464767456055,0.18226850032806396,0.3151417672634125,4.053873538970947,684.114990234375,92.62516784667969,0.7950204610824585
3090,trace-r64-read-256,16,9.036565780639648,64.0,0.0,1.0,0.0,0.3784749507904053,0.0,3.3604788780212402,0.1614951491355896,0.20070554316043854,0.08186700940132141,0.12137268483638763,0.2527484893798828,0.045746393501758575,0.40246057510375977,0.05106590688228607,0.3856053948402405,0.3274058997631073,1.3598122596740723,0.1245931014418602,0.18176665902137756,0.31444481015205383,4.054750919342041,679.8289794921875,93.84337615966797,0.7952307462692261
2080ti,trace-r64-read-256,64,8.70555591583252,64.0,0.0,1.0,0.0,0.36847707629203796,0.0,3.484879493713379,0.8997418880462646,0.5834821462631226,0.022933829575777054,0.11306354403495789,0.3852084279060364,0.008552804589271545,1.3309226036071777,0.008179895579814911,0.018051307648420334,0.8745999932289124,0.5125942230224609,0.037218376994132996,0.18005478382110596,0.35047611594200134,2.6101620197296143,8360.607421875,23.33428192138672,0.35946938395500183
3090,trace-r64-read-256,64,8.703051567077637,64.0,0.0,1.0,0.0,0.3622674345970154,0.0,3.4484496116638184,0.8841041922569275,0.5832360982894897,0.024237774312496185,0.11810915172100067,0.3892990052700043,0.009178227744996548,1.3352336883544922,0.008721055462956429,0.020643213763833046,0.8742058277130127,0.5137035846710205,0.03784641623497009,0.18176260590553284,0.4021064043045044,2.611982583999634,8353.33984375,23.356204986572266,0.36006754636764526
2080ti,trace-r64-read-256,128,8.460371017456055,64.0,0.0,1.0,0.0,3.6612844467163086,0.0,0.6697547435760498,0.807803213596344,0.7672778964042664,0.008557096123695374,0.055314283818006516,0.513166069984436,0.008595602586865425,0.7497054934501648,0.003298612777143717,0.03951685503125191,0.9287545680999756,0.33347880840301514,0.014475032687187195,0.09375080466270447,0.7165809869766235,1.7008037567138672,11675.455078125,13.225030899047852,0.07412147521972656
3090,trace-r64-read-256,128,8.459965705871582,64.0,0.0,1.0,0.0,3.4703097343444824,0.0,1.7628765106201172,0.8833471536636353,0.7675778865814209,0.007989317178726196,0.052316125482320786,0.35182061791419983,0.007260317914187908,0.6318862438201904,0.0028905407525599003,0.02865738980472088,0.9277970194816589,0.33702635765075684,0.013243822380900383,0.08704501390457153,0.5411190390586853,1.7021260261535645,11667.970703125,13.23076057434082,0.07383077591657639
2080ti,trace-r64-read-256,256,8.390172004699707,64.0,0.0,1.0,0.0,2.6573848724365234,0.0,1.0021169185638428,0.8344927430152893,0.7988379001617432,0.024363264441490173,0.14264236390590668,1.0353496074676514,0.025725994259119034,3.9813802242279053,0.002078109420835972,0.0037000016309320927,0.9417098164558411,0.28521719574928284,0.020785178989171982,0.12060639262199402,0.5474478602409363,1.5100460052490234,12325.515625,12.012819290161133,0.020357027649879456
3090,trace-r64-read-256,256,8.38901424407959,64.0,0.0,1.0,0.0,3.665931224822998,0.0,1.7358993291854858,0.9093849658966064,0.7990239858627319,0.008417273871600628,0.05021558701992035,0.9369839429855347,0.015223843976855278,1.9709100723266602,0.0008436354110017419,0.0015144309727475047,0.9406307339668274,0.28941792249679565,0.0077630216255784035,0.04773176833987236,0.5464235544204712,1.5124802589416504,12314.232421875,12.032063484191895,0.018321385607123375
