variant,machine,optimizer_step,hotspot_metric,rank,metric_value,layer_idx,head_idx,code_idx,num_events_sum,pair_abs_cos_p95_mean,update_norm_p95_mean,condition_number_mean,effective_rank_mean
dgeom-r16-injwarm512-only,3090,703,high_condition_number,6,604.9671311548778,1,0,16,131,0.5805212419766647,0.006485686828714928,604.9671311548778,4.767512713159833
dgeom-r16-injwarm512-only,3090,703,high_condition_number,7,459.09392665965214,1,0,45,92,0.6959503392378489,0.00676854670330483,459.09392665965214,3.2674893140792847
dgeom-r16-injwarm512-only,3090,703,high_condition_number,8,314.9587302889143,1,0,43,189,0.7048911026545933,0.008585237831409489,314.9587302889143,4.90534782409668
dgeom-r16-injwarm512-only,3090,703,high_condition_number,9,313.2969643729074,1,1,50,28672,0.9987561617578778,2.272201725414821,313.2969643729074,1.0840582421847753
dgeom-r16-injwarm512-only,3090,703,high_condition_number,10,306.4409329720906,1,0,29,189,0.7060292278017316,0.008532216955375458,306.4409329720906,5.2743715558733255
dgeom-r16-injwarm512-only,3090,703,high_condition_number,11,105.2457674741745,1,0,56,95,0.7274963534795321,0.008121813683269115,105.2457674741745,3.0630689584291897
dgeom-r16-injwarm512-only,3090,703,high_condition_number,12,90.7668582201004,1,0,41,115,0.7742483182386919,0.006129351785472993,90.7668582201004,3.0415884341512407
dgeom-r16-injwarm512-only,3090,703,high_condition_number,13,62.40574598312378,1,0,14,75,0.6447282710245678,0.005457185907289386,62.40574598312378,2.8794884852000644
dgeom-r16-injwarm512-only,3090,703,high_condition_number,14,49.37665050370352,1,0,36,292,0.6600510478019714,0.00975737627595663,49.37665050370352,6.499526739120483
dgeom-r16-injwarm512-only,3090,703,high_condition_number,15,47.83826068469456,1,0,2,376,0.6793669079031263,0.008323889092675276,47.83826068469456,8.019623722348895
dgeom-r16-injwarm512-only,3090,703,high_condition_number,16,41.24886790343693,1,0,54,192,0.6464228119168963,0.008232333364763431,41.24886790343693,5.702368651117597
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,1,1.0,1,0,1,1,,0.001545552397146821,1.0,1.0
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,2,1.0,1,0,10,1,,0.0011956010712310672,1.0,1.0
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,3,1.0,1,0,28,1,,0.001613630331121385,1.0,1.0
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,4,1.0,1,0,30,1,,0.00448665302246809,1.0,1.0
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,5,1.0,1,0,60,3,,0.0032997551218916974,1.0,1.0
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,6,1.002125825200762,1,1,48,28672,0.9999726627554212,0.09331285580992699,1930.7481515066963,1.002125825200762
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,7,1.0023356165204729,1,1,63,28672,0.9999788318361554,0.0792044715157577,2345.30606515067,1.0023356165204729
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,8,1.0054266027041845,1,1,12,28672,0.9999284701687949,0.11080714182129928,1247.228227887835,1.0054266027041845
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,9,1.0840582421847753,1,1,50,28672,0.9987561617578778,2.272201725414821,313.2969643729074,1.0840582421847753
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,10,1.3413029738834925,1,0,63,11,0.6329629421234131,0.0030873015223603162,1.6978374208722795,1.3413029738834925
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,11,1.4269938468933105,1,0,20,13,0.7904576659202576,0.0068593841084900005,3.5055633385976157,1.4269938468933105
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,12,1.4789942055940628,1,0,13,18,0.751183807849884,0.004441209523065481,2.723723888397217,1.4789942055940628
dgeom-r16-injwarm512-only,3090,703,low_effective_rank,13,1.5044076442718506,1,0,23,16,0.797690361738205,0.004019162817192929,4.062549420765468,1.5044076442718506
