config,run_id,source,run_type,gpu,seed,data_seed,cb,rank,train_batch_size,gradient_accumulation_steps,effective_train_batch_size,configured_max_epochs,early_stopping_disabled,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.94287890625
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.99521875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.993109375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.98425
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.98759375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.99975
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,64x4,valid/mqar_case/accuracy-64x4,0.99975
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,mqar_case,64x8,valid/mqar_case/accuracy-64x8,1.0
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.98425
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.99975
