-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.269ms         0.19%       8.269ms       2.019us           0 b           0 b           0 b           0 b          4096
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.398ms         0.10%       4.398ms       2.133us           0 b           0 b           0 b           0 b          2062
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.188ms         0.10%       4.188ms       2.045us           0 b           0 b           0 b           0 b          2048
                                 aten::_index_put_impl_         0.01%       1.632ms         0.28%      35.689ms     915.108us       3.010ms         0.07%       3.814ms      97.786us           0 b        -304 b           0 b      -3.94 Mb            39
    autograd::engine::evaluate_function: IndexBackward0         0.00%     355.061us         0.29%      36.790ms       1.150ms       0.000us         0.00%       3.748ms     117.135us           0 b           0 b      -7.86 Mb     -41.07 Mb            32
                                         IndexBackward0         0.00%     237.478us         0.28%      36.304ms       1.134ms       0.000us         0.00%       3.718ms     116.192us           0 b           0 b      33.20 Mb           0 b            32
    autograd::engine::evaluate_function: SliceBackward0         0.01%     927.835us         0.05%       6.851ms      55.697us       0.000us         0.00%       2.967ms      24.120us           0 b           0 b    -144.60 Mb    -454.58 Mb           123
void (anonymous namespace)::indexing_backward_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       2.345ms         0.05%       2.345ms     167.512us           0 b           0 b           0 b           0 b            14
                            flashvqg/attn/phase2/reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.314ms         0.05%       2.314ms       2.314ms           0 b           0 b           0 b           0 b             1
                                         SliceBackward0         0.00%     341.003us         0.04%       5.498ms      44.700us       0.000us         0.00%       2.088ms      16.972us           0 b           0 b     308.97 Mb           0 b           123
                                   aten::slice_backward         0.01%     718.462us         0.04%       5.157ms      41.927us       0.000us         0.00%       2.088ms      16.972us           0 b           0 b     308.97 Mb           0 b           123
                                 gd_residual/event_pack         0.03%       3.606ms         0.67%      86.129ms      21.532ms       0.000us         0.00%       1.561ms     390.364us           0 b           0 b      59.34 Mb     -11.04 Mb             4
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.220ms         0.03%       1.220ms       8.080us           0 b           0 b           0 b           0 b           151
                       gd_residual/phase2_residual_read         0.00%       0.000us         0.00%       0.000us       0.000us       1.220ms         0.03%       1.220ms       1.220ms           0 b           0 b           0 b           0 b             1
                                              aten::bmm         0.01%       1.159ms         0.05%       7.057ms     156.828us       1.129ms         0.03%       1.129ms      25.086us           0 b           0 b      68.70 Mb      68.70 Mb            45
      autograd::engine::evaluate_function: BmmBackward0         0.00%     179.951us         0.03%       3.838ms     274.116us       0.000us         0.00%     849.081us      60.649us           0 b           0 b      -5.37 Mb     -62.31 Mb            14
                                           BmmBackward0         0.00%     126.335us         0.03%       3.658ms     261.262us       0.000us         0.00%     849.081us      60.649us           0 b           0 b      56.95 Mb           0 b            14
                                               aten::mm         0.00%     620.960us         0.04%       5.438ms     319.910us     764.412us         0.02%     764.412us      44.965us           0 b           0 b      50.52 Mb      50.52 Mb            17
