-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::native_layer_norm         0.00%     145.880us         0.00%     820.083us     164.017us      38.688us         0.00%      45.121us       9.024us           0 b           0 b       2.54 Mb    -512.00 Kb             5  
                              flashvqg/attn/output_proj         0.00%     221.510us         4.65%     964.668ms     964.668ms       0.000us         0.00%     918.498ms     918.498ms           0 b           0 b       2.51 Mb           0 b             1  
                               NativeLayerNormBackward0         0.00%      56.275us         0.00%     303.670us      60.734us       0.000us         0.00%      69.983us      13.997us           0 b           0 b       2.50 Mb           0 b             5  
                       aten::native_layer_norm_backward         0.00%      75.778us         0.00%     247.395us      49.479us      64.575us         0.00%      69.983us      13.997us           0 b           0 b       2.50 Mb    -512.00 Kb             5  
                                            aten::where         0.00%     363.175us         0.00%       1.002ms      38.530us      83.424us         0.00%     117.502us       4.519us           0 b           0 b       2.35 Mb      -2.00 Kb            26  
                                  aten::constant_pad_nd         0.00%      48.367us         0.00%     289.468us      48.245us       0.000us         0.00%      28.128us       4.688us           0 b           0 b       2.27 Mb           0 b             6  
               aten::value_selecting_reduction_backward         0.00%      47.402us         0.00%     348.900us      69.780us       0.000us         0.00%      35.135us       7.027us           0 b           0 b       2.25 Mb           0 b             5  
                                         AddmmBackward0         0.00%      52.473us         0.00%     455.435us     113.859us       0.000us         0.00%      72.798us      18.199us           0 b           0 b       2.07 Mb           0 b             4  
                                    MaskedFillBackward0         0.00%       7.379us         0.00%     180.475us      60.158us       0.000us         0.00%      18.624us       6.208us           0 b           0 b       2.00 Mb           0 b             3  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%      57.408us         0.00%     625.103us     156.276us       0.000us         0.00%     103.678us      25.919us           0 b           0 b       1.54 Mb    -536.00 Kb             4  
                                      LayerNormFunction         3.67%     760.269ms         7.26%        1.505s     752.553ms      14.640ms         0.30%     877.661ms     438.831ms           0 b      -6.73 Kb       1.52 Mb      -2.25 Gb             2  
                                           MaxBackward0         0.00%       9.505us         0.00%     200.037us     100.019us       0.000us         0.00%      12.319us       6.159us           0 b           0 b       1.50 Mb           0 b             2  
                                              aten::pad         0.00%      15.825us         0.00%     191.532us      63.844us       0.000us         0.00%      20.224us       6.741us           0 b           0 b       1.26 Mb           0 b             3  
                                        UnfoldBackward0         0.00%       8.744us         0.00%     962.815us     320.938us       0.000us         0.00%      32.639us      10.880us           0 b           0 b       1.26 Mb           0 b             3  
                                  aten::unfold_backward         0.00%      63.594us         0.00%     954.071us     318.024us      22.016us         0.00%      32.639us      10.880us           0 b           0 b       1.26 Mb      -4.50 Kb             3  
                                        aten::clamp_min         0.00%     355.718us         0.06%      11.612ms     611.181us      41.218us         0.00%      41.218us       2.169us           0 b           0 b       1.07 Mb       1.07 Mb            19  
                                              aten::log         0.00%      99.059us         0.01%       2.778ms     555.570us      11.009us         0.00%      11.009us       2.202us           0 b           0 b       1.03 Mb       1.03 Mb             5  
                                 ConstantPadNdBackward0         0.00%      18.187us         0.00%     131.948us      43.983us       0.000us         0.00%       7.904us       2.635us           0 b           0 b       1.01 Mb           0 b             3  
                         LayerNormGatedFunctionBackward         1.03%     213.774ms         4.71%     975.882ms     975.882ms      17.756ms         0.36%     910.393ms     910.393ms           0 b      -7.13 Kb       1.00 Mb      -2.25 Gb             1  
                                          aten::softmax         0.00%      11.622us         0.04%       8.885ms       8.885ms       0.000us         0.00%       7.488us       7.488us           0 b           0 b       1.00 Mb           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 20.738s
Self CUDA time total: 4.960s
