-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ViewBackward0         0.07%      14.009ms         0.17%      35.945ms       5.771us       0.000us         0.00%      44.000us       0.007us           0 b           0 b       7.77 Mb           0 b          6229  
                                           ExpBackward0         0.20%      42.792ms         1.01%     218.023ms      20.772us       0.000us         0.00%      24.433ms       2.328us           0 b           0 b       7.63 Mb           0 b         10496  
                                               aten::mv         0.39%      84.601ms         2.04%     440.340ms      30.716us       0.000us         0.00%      41.491ms       2.894us           0 b           0 b       7.00 Mb        -512 b         14336  
                                      aten::masked_fill         0.00%     228.537us         0.01%       1.094ms      28.055us       0.000us         0.00%      57.375us       1.471us         396 b           0 b       6.00 Mb           0 b            39  
                       flashvqg/attn/phase1/project_qkv         0.00%     966.963us         7.02%        1.512s        1.512s       0.000us         0.00%     889.639ms     889.639ms          16 b          16 b       5.06 Mb      -3.98 Mb             1  
                                            aten::where         0.00%     436.335us         0.01%       1.165ms      44.809us      77.407us         0.00%      94.687us       3.642us           0 b           0 b       4.63 Mb      -2.00 Kb            26  
                                    aten::_foreach_sqrt         0.00%      78.820us         0.10%      22.142ms      22.142ms      23.328us         0.00%      23.328us      23.328us           0 b           0 b       4.52 Mb           0 b             1  
               aten::value_selecting_reduction_backward         0.00%      27.745us         0.00%     356.723us      71.345us       0.000us         0.00%      36.384us       7.277us           0 b           0 b       4.00 Mb           0 b             5  
                                     EmbeddingBackward0         0.00%       4.438us         0.00%       1.024ms       1.024ms       0.000us         0.00%      34.816us      34.816us           0 b           0 b       4.00 Mb           0 b             1  
                               aten::embedding_backward         0.00%       4.112us         0.00%       1.019ms       1.019ms       0.000us         0.00%      34.816us      34.816us           0 b           0 b       4.00 Mb           0 b             1  
                         aten::embedding_dense_backward         0.00%      13.354us         0.00%       1.015ms       1.015ms      25.664us         0.00%      34.816us      34.816us           0 b           0 b       4.00 Mb           0 b             1  
                                    MaskedFillBackward0         0.00%       7.175us         0.00%     162.918us      54.306us       0.000us         0.00%      27.968us       9.323us           0 b           0 b       3.00 Mb           0 b             3  
                        flashvqg/attn/phase2/local_path         0.02%       3.285ms         0.06%      13.465ms      13.465ms       0.000us         0.00%      99.037us      99.037us           0 b           0 b       2.63 Mb      -2.64 Mb             1  
                                       aten::layer_norm         0.00%      48.372us         0.00%     902.564us     180.513us       0.000us         0.00%      44.735us       8.947us           0 b           0 b       2.54 Mb           0 b             5  
                                aten::native_layer_norm         0.00%     189.012us         0.00%     854.192us     170.838us      38.143us         0.00%      44.735us       8.947us           0 b           0 b       2.54 Mb    -512.00 Kb             5  
                              flashvqg/attn/output_proj         0.00%     207.747us         4.51%     972.168ms     972.168ms       0.000us         0.00%     936.689ms     936.689ms           0 b           0 b       2.51 Mb           0 b             1  
                               NativeLayerNormBackward0         0.00%      60.840us         0.00%     304.192us      60.838us       0.000us         0.00%      70.493us      14.099us           0 b           0 b       2.50 Mb           0 b             5  
                       aten::native_layer_norm_backward         0.00%      75.590us         0.00%     243.352us      48.670us      64.893us         0.00%      70.493us      14.099us           0 b           0 b       2.50 Mb    -512.00 Kb             5  
                                           MaxBackward0         0.00%       9.143us         0.00%     157.726us      78.863us       0.000us         0.00%      12.704us       6.352us           0 b           0 b       2.50 Mb           0 b             2  
                                  aten::constant_pad_nd         0.00%      45.907us         0.00%     304.292us      50.715us       0.000us         0.00%      27.488us       4.581us           0 b           0 b       2.27 Mb           0 b             6  
                                        aten::clamp_min         0.00%     275.925us         0.05%      11.479ms     604.149us      45.855us         0.00%      45.855us       2.413us           0 b           0 b       2.07 Mb       2.07 Mb            19  
                                              aten::log         0.00%      74.452us         0.01%       2.763ms     552.509us      11.648us         0.00%      11.648us       2.330us           0 b           0 b       2.07 Mb       2.07 Mb             5  
                                         AddmmBackward0         0.00%      44.231us         0.00%     359.966us      89.992us       0.000us         0.00%      66.432us      16.608us           0 b           0 b       2.07 Mb           0 b             4  
                                        GatherBackward0         0.00%       7.978us         0.00%     239.896us     119.948us       0.000us         0.00%      19.581us       9.790us           0 b           0 b       2.00 Mb           0 b             2  
                                  aten::gather_backward         0.00%      41.818us         0.00%     231.918us     115.959us       0.000us         0.00%      19.581us       9.790us           0 b           0 b       2.00 Mb           0 b             2  
                                          aten::softmax         0.00%      10.537us         0.04%       8.618ms       8.618ms       0.000us         0.00%       9.728us       9.728us           0 b           0 b       2.00 Mb           0 b             1  
                                         aten::_softmax         0.00%      93.902us         0.04%       8.608ms       8.608ms       4.544us         0.00%       9.728us       9.728us           0 b           0 b       2.00 Mb           0 b             1  
                                       SoftmaxBackward0         0.00%       5.740us         0.00%      63.246us      63.246us       0.000us         0.00%      16.160us      16.160us           0 b           0 b       2.00 Mb           0 b             1  
                           aten::_softmax_backward_data         0.00%      15.562us         0.00%      57.506us      57.506us       6.784us         0.00%      16.160us      16.160us           0 b           0 b       2.00 Mb           0 b             1  
      autograd::engine::evaluate_function: MaxBackward0         0.00%      25.182us         0.00%     194.991us      97.496us       0.000us         0.00%      15.296us       7.648us           0 b           0 b       1.95 Mb    -560.00 Kb             2  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%      51.686us         0.00%     510.918us     127.730us       0.000us         0.00%      97.760us      24.440us           0 b           0 b       1.54 Mb    -536.00 Kb             4  
                                      LayerNormFunction         3.50%     754.955ms         6.97%        1.503s     751.481ms      14.208ms         0.26%     889.540ms     444.770ms           0 b      -7.52 Kb       1.52 Mb      -2.25 Gb             2  
                                          TopkBackward0         0.00%      11.924us         0.00%     220.064us      73.355us       0.000us         0.00%      23.680us       7.893us           0 b           0 b       1.50 Mb           0 b             3  
     autograd::engine::evaluate_function: TopkBackward0         0.00%      31.256us         0.00%     251.320us      83.773us       0.000us         0.00%      23.680us       7.893us           0 b           0 b       1.43 Mb     -72.00 Kb             3  
                                              aten::pad         0.00%      16.963us         0.00%     221.459us      73.820us       0.000us         0.00%      19.648us       6.549us           0 b           0 b       1.26 Mb           0 b             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.550s
Self CUDA time total: 5.425s
