machine,model,checkpoint_role,train_precision,eval_precision,shape,num_examples,n_seeds,accuracy_mean,accuracy_population_std
3090,flash,best,bf16,fp32,512x64,1000,3,0.9944166666666667,0.0005243630395272217
3090,flash,best,bf16,fp32,64x16,1000,3,1.0,0.0
3090,flash,best,bf16,fp32,64x4,1000,3,0.99975,0.0
3090,flash,best,bf16,fp32,64x8,1000,3,1.0,0.0
3090,flash,best,bf16,fp32,8190x2047,500,3,0.12223090557257335,0.02089070735382735
3090,flash,best,bf16,fp32,8190x512,500,3,0.62193359375,0.05303700471194715
3090,flash,best,fp16,bf16,1024x256,500,3,0.964140625,0.004073322923046576
3090,flash,best,fp16,bf16,1024x256,1000,3,0.96477734375,0.004402984346878138
3090,flash,best,fp16,bf16,128x32,1000,3,0.99725,0.0001325825214724827
3090,flash,best,fp16,bf16,2048x512,500,3,0.7933463541666667,0.018443220646919174
3090,flash,best,fp16,bf16,256x64,1000,3,0.998453125,0.0001930599270088392
3090,flash,best,fp16,bf16,4096x1024,500,3,0.421373046875,0.022247386707469407
3090,flash,best,fp16,bf16,512x128,1000,3,0.9956432291666667,0.0005404132131732624
3090,flash,best,fp16,bf16,512x64,1000,3,0.9945364583333334,0.00010699290929253324
3090,flash,best,fp16,bf16,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
3090,flash,best,fp16,bf16,64x4,1000,3,1.0,0.0
3090,flash,best,fp16,bf16,64x8,1000,3,1.0,0.0
3090,flash,best,fp16,bf16,8190x2047,500,3,0.13791629791259766,0.009015780030044607
3090,flash,best,fp16,bf16,8190x512,500,3,0.6661197916666667,0.02093083045721008
3090,flash,best,fp16,fp16,1024x256,500,3,0.964515625,0.0041291261323902
3090,flash,best,fp16,fp16,1024x256,1000,3,0.9650104166666666,0.004502362043446655
3090,flash,best,fp16,fp16,128x32,1000,3,0.99725,0.00010206207261595451
3090,flash,best,fp16,fp16,2048x512,500,3,0.7938411458333333,0.018676239828624056
3090,flash,best,fp16,fp16,256x64,1000,3,0.9984791666666667,0.0001814713686477258
3090,flash,best,fp16,fp16,4096x1024,500,3,0.42233138020833333,0.022629776274284627
3090,flash,best,fp16,fp16,512x128,1000,3,0.9957239583333334,0.0005159537041502539
3090,flash,best,fp16,fp16,512x64,1000,3,0.9945260416666667,0.00018590175309971218
3090,flash,best,fp16,fp16,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
3090,flash,best,fp16,fp16,64x4,1000,3,1.0,0.0
3090,flash,best,fp16,fp16,64x8,1000,3,1.0,0.0
3090,flash,best,fp16,fp16,8190x2047,500,3,0.1385331355581681,0.00930484200765982
3090,flash,best,fp16,fp16,8190x512,500,3,0.6673893229166666,0.021104688120177365
3090,flash,best,fp16,fp32,1024x256,500,3,0.964453125,0.004125241667478897
3090,flash,best,fp16,fp32,1024x256,1000,3,0.9650234375,0.004495417769738306
3090,flash,best,fp16,fp32,128x32,1000,3,0.9972291666666666,0.0001284252917285392
3090,flash,best,fp16,fp32,2048x512,500,3,0.79391796875,0.018600916368888085
