experiment_id,machine,target,train_step,warmup_start_optimizer_step,warmup_end_optimizer_step,warmup_start_train_forward_step,warmup_end_train_forward_step,warmup_eval_policy,factor_mean,factor_layer0,factor_layer1,inject_ratio_mean,inject_ratio_layer0,inject_ratio_layer1,lambda_mean,loss
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,192,0,0,0,0,scheduled,1.0,,1.0,0.0016489260597154498,,0.0016489260597154498,0.001066465163603425,8.416196823120117
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,256,0,0,0,0,scheduled,1.0,,1.0,0.002727053128182888,,0.002727053128182888,0.001304697711020708,8.387843132019043
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,384,0,0,0,0,scheduled,1.0,,1.0,0.14578035473823547,,0.14578035473823547,0.012526341713964939,8.338187217712402
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,512,0,0,0,0,scheduled,1.0,,1.0,0.6179680228233337,,0.6179680228233337,0.1288445144891739,6.253812789916992
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,704,0,0,0,0,scheduled,1.0,,1.0,0.7647889852523804,,0.7647889852523804,0.09370701014995575,3.590254306793213
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,0,0,512,0,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05000000819563866,9.038751602172852
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,1,0,512,0,2048,scheduled,0.001953125,,0.001953125,0.00027876897365786135,,0.00027876897365786135,0.05002104490995407,9.038395881652832
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,2,0,512,0,2048,scheduled,0.00390625,,0.00390625,0.0005524363368749619,,0.0005524363368749619,0.050049521028995514,9.03844928741455
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,4,0,512,0,2048,scheduled,0.0078125,,0.0078125,0.0010906633688136935,,0.0010906633688136935,0.05010756477713585,9.03889274597168
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,8,0,512,0,2048,scheduled,0.015625,,0.015625,0.0021746226120740175,,0.0021746226120740175,0.050288572907447815,9.039070129394531
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,16,0,512,0,2048,scheduled,0.03125,,0.03125,0.005156815052032471,,0.005156815052032471,0.050872497260570526,9.03658676147461
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,24,0,512,0,2048,scheduled,0.046875,,0.046875,0.009544865228235722,,0.009544865228235722,0.05085396021604538,9.028125762939453
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,32,0,512,0,2048,scheduled,0.0625,,0.0625,0.01799958385527134,,0.01799958385527134,0.05093708634376526,9.011551856994629
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,48,0,512,0,2048,scheduled,0.09375,,0.09375,0.018876753747463226,,0.018876753747463226,0.036505378782749176,8.906113624572754
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,64,0,512,0,2048,scheduled,0.125,,0.125,0.00887093786150217,,0.00887093786150217,0.014958036132156849,8.702645301818848
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,96,0,512,0,2048,scheduled,0.1875,,0.1875,0.010521067306399345,,0.010521067306399345,0.008286266587674618,8.528580665588379
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,128,0,512,0,2048,scheduled,0.25,,0.25,0.03427732363343239,,0.03427732363343239,0.007019524462521076,8.46475887298584
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,192,0,512,0,2048,scheduled,0.375,,0.375,0.030799785628914833,,0.030799785628914833,0.04366379976272583,8.415276527404785
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,256,0,512,0,2048,scheduled,0.5,,0.5,0.4728381037712097,,0.4728381037712097,0.49613213539123535,8.375106811523438
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,384,0,512,0,2048,scheduled,0.75,,0.75,0.7514359951019287,,0.7514359951019287,0.8757692575454712,5.401387691497803
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,512,0,512,0,2048,scheduled,1.0,,1.0,0.5815587043762207,,0.5815587043762207,0.8395830392837524,2.0870399475097656
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-linear512-r2,704,0,512,0,2048,scheduled,1.0,,1.0,0.4376775920391083,,0.4376775920391083,0.7860192060470581,1.5014320611953735
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,0,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05000000819563866,9.038751602172852
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,1,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05001399666070938,9.038395881652832
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,2,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05002797022461891,9.038450241088867
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,4,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05005597695708275,9.03889274597168
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,8,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05011199414730072,9.039070129394531
