config,original_config,run_id,gpu,seed,data_seed,cb,rank,dynamic_capacity,relative_to_gdn,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice_name,metric,value
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.97199609375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,input_seq_len,128,valid/input_seq_len/accuracy-128,0.9971875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.99671875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,input_seq_len,512,valid/input_seq_len/accuracy-512,0.992828125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9999583333333333
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.97199609375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.9971875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.99671875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.99240625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.99325
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.999875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,64x4,valid/mqar_case/accuracy-64x4,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,mqar_case,64x8,valid/mqar_case/accuracy-64x8,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.99240625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,5,mid_epoch,2.5,2,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.999875
